contract_id,customer_id,plant_id,consumer_unit_id,distributor_code,start_date,end_date,contracted_energy_kwh_month,discount_rate,status,source_updated_at,extracted_at,batch_id
CONTRACT-000127,CUST-000007,PLANT-007,UC-EQUATORIAL_GO-500127,EQUATORIAL_GO,2025-11-05,NULL,714.4,0.107,ACTIVE,2026-07-16T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000128,CUST-000008,PLANT-008,UC-ENERGISA_MS-500128,ENERGISA_MS,2025-11-06,NULL,613.28,0.1999,ACTIVE,2026-07-17T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000129,CUST-000009,PLANT-001,UC-CPFL-500129,CPFL,2025-11-07,NULL,686.93,0.1917,ACTIVE,2026-07-18T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000130,CUST-000010,PLANT-002,UC-CPFL-500130,CPFL,2025-11-08,NULL,326.97,0.114,ACTIVE,2026-07-19T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000131,CUST-000011,PLANT-003,UC-CEMIG-500131,CEMIG,2025-11-09,NULL,1057.58,0.1274,ACTIVE,2026-07-20T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000132,CUST-000012,PLANT-004,UC-CEMIG-500132,CEMIG,2025-11-10,NULL,920.14,0.1683,ACTIVE,2026-07-21T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000133,CUST-000013,PLANT-005,UC-COPEL-500133,COPEL,2025-11-11,NULL,875.81,0.1261,ACTIVE,2026-07-22T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000134,CUST-000014,PLANT-006,UC-COPEL-500134,COPEL,2025-11-12,NULL,1098.12,0.1079,ACTIVE,2026-07-23T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000135,CUST-000015,PLANT-007,UC-EQUATORIAL_GO-500135,EQUATORIAL_GO,2025-11-13,NULL,303.23,0.1977,ACTIVE,2026-07-24T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000136,CUST-000016,PLANT-008,UC-ENERGISA_MS-500136,ENERGISA_MS,2025-11-14,NULL,1086.23,0.1264,ACTIVE,2026-07-25T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000137,CUST-000017,PLANT-001,UC-CPFL-500137,CPFL,2025-11-15,NULL,1117.92,0.1058,ACTIVE,2026-07-26T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000138,CUST-000018,PLANT-002,UC-CPFL-500138,CPFL,2025-11-16,NULL,300.53,0.1504,ACTIVE,2026-07-27T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000139,CUST-000019,PLANT-003,UC-CEMIG-500139,CEMIG,2025-11-17,NULL,283.38,0.1669,ACTIVE,2026-07-28T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000140,CUST-000020,PLANT-004,UC-CEMIG-500140,CEMIG,2025-11-18,NULL,479.55,0.1277,ACTIVE,2026-07-01T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000141,CUST-000021,PLANT-005,UC-COPEL-500141,COPEL,2025-11-19,NULL,699.05,0.1422,ACTIVE,2026-07-02T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000142,CUST-000022,PLANT-006,UC-COPEL-500142,COPEL,2025-11-20,NULL,619.95,0.1435,ACTIVE,2026-07-03T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000143,CUST-000023,PLANT-007,UC-EQUATORIAL_GO-500143,EQUATORIAL_GO,2025-11-21,NULL,276.78,0.1429,ACTIVE,2026-07-04T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000144,CUST-000024,PLANT-008,UC-ENERGISA_MS-500144,ENERGISA_MS,2025-11-22,NULL,1013.98,0.127,ACTIVE,2026-07-05T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000145,CUST-000025,PLANT-001,UC-CPFL-500145,CPFL,2025-11-23,NULL,317.26,0.1485,SUSPENDED,2026-07-06T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000146,CUST-000026,PLANT-002,UC-CPFL-500146,CPFL,2025-11-24,NULL,905.07,0.1001,ACTIVE,2026-07-07T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000147,CUST-000027,PLANT-003,UC-CEMIG-500147,CEMIG,2025-11-25,NULL,447.44,0.1335,ACTIVE,2026-07-08T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000148,CUST-000028,PLANT-004,UC-CEMIG-500148,CEMIG,2025-11-26,NULL,439.44,0.1857,ACTIVE,2026-07-09T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000149,CUST-000029,PLANT-005,UC-COPEL-500149,COPEL,2025-11-27,NULL,1123.08,0.1788,ACTIVE,2026-07-10T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000150,CUST-000030,PLANT-006,UC-COPEL-500150,COPEL,2025-11-28,NULL,326.52,0.1596,ACTIVE,2026-07-11T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
